product_name,brand,was,price,link
PlayStation 4 PRO 1TB Bundle - Red Dead Redemption 2,PlayStation,,446,https://www.newegg.com/global/de-en/black-sony-3003203-playstation-4-pro-bundle/p/N82E16868110273?Description=ps4&cm_re=ps4-_-9SIA6V69B89970-_-Product
Sony PlayStation 4 PRO 1TB Console Anthem Bundle - Black 4K HDR Ultra HD PS4 PRO Enhanced,Sony,,455,https://www.newegg.com/global/de-en/p/2SH-000D-001C1?Description=ps4&cm_re=ps4-_-9SIA6V68UR2148-_-Product
Sony PlayStation 4 PRO 1TB Console Metro Exodus Bundle - Black 4K HDR Ultra HD PS4 PRO Enhanced,Sony,,453,https://www.newegg.com/global/de-en/p/2SH-000D-001B8?Description=ps4&cm_re=ps4-_-9SIA6V68UR0608-_-Product
Playstation Borderlands 2 VR Beat Saber Console Bundle: Playstation 4 PRO 4K HDR 1TB Gaming Console with PSVR Borderlands 2 VR (PS4 PRO Enhanced Available) and Saber Beat Bundle,Sony,,703,https://www.newegg.com/global/de-en/p/2SH-000D-00184?Description=ps4&cm_re=ps4-_-9SIA6V68KE6546-_-Product
PlayStation VR Bundle (9 Items): PS4 Pro 1TB| VR Headset| Playstation Camera| 6 VR Game Discs (Until Dawn| EVE: Valkyrie| Battlezone| Batman: Arkham VR| Driveclub| RIGS: Mechanized Combat League),Sony,,795,https://www.newegg.com/global/de-en/p/2SH-000D-00074?Description=ps4&cm_re=ps4-_-9SIA6V653F2431-_-Product
PS4 Shooter Bundle (6 Items): PlayStation 4 Pro 1TB Console| VR Headset| Farpoint Aim Controller Bundle| PSVR Doom Game| Playstation Camera| and 2 Move Motion Controllers,Sony,,855,https://www.newegg.com/global/de-en/p/2SH-000D-00144?Description=ps4&cm_re=ps4-_-9SIA6V68D73717-_-Product
PlayStation VR Start Bundle 10 Items:VR Start Bundle PS|PS4 Call of Duty Black Ops IIII|6 VR Game Disc Until Dawn|Rush of Blood|EVE: Valkyrie| Battlezone|Batman:Arkham VR|  DriveClub|Battlezone,Sony,,801,https://www.newegg.com/global/de-en/p/2SH-000D-00039?Description=ps4&cm_re=ps4-_-9SIA6V653F1924-_-Product
PlayStation VR Deluxe Bundle (12 Items): PS4 Pro 1TB| VR Starter Bundle| and 8 VR Game Discs (Rush of Blood| Valkyrie| Battlezone| Batman| DriveClub| Eagle| RIGS| Resident Evil 7: Biohazard),Sony,,950,https://www.newegg.com/global/de-en/black-sony-ps4pro-cam-mt-8games-playstation-4-bundle/p/2SH-000D-000B3?Description=ps4&cm_re=ps4-_-9SIA6V659G8055-_-Product
PlayStation VR Bundle (9 Items): PS4 Game Console| VR Headset| Playstation Camera| and 6 VR Game Discs (Until Dawn: Rush of Blood| EVE: Valkyrie| Battlezone| Batman: Arkham| DriveClub| Battlezone),Sony,,693,https://www.newegg.com/global/de-en/p/2SH-000D-00086?Description=ps4&cm_re=ps4-_-9SIA6V653F2464-_-Product
Limited Edition Days of Play PlayStation 4 Slim 1TB Console,PlayStation,,370,https://www.newegg.com/global/de-en/blue-sony-3003131-playstation-4-slim-console/p/N82E16868110261?Description=ps4&cm_re=ps4-_-9SIA6V67DM6579-_-Product
PlayStation 4 Pro 1TB console,PlayStation,,408,https://www.newegg.com/global/de-en/black-sony-3001510-playstation-4-console/p/N82E16868110214?Description=ps4&cm_re=ps4-_-9SIA6V652J5997-_-Product
PlayStation VR Bundle (9 Items): PS4 Console with Call of Duty: Black Ops IIII| VR Headset| Playstation Camera| 6 VR Games (Until Dawn| EVE: Valkyrie| Battlezone| Batman: Arkham| Driveclub| RIGS),Sony,,727,https://www.newegg.com/global/de-en/p/2SH-000D-00065?Description=ps4&cm_re=ps4-_-9SIA6V653F2415-_-Product
PlayStation 4 Slim 1TB Console,PlayStation,,285,https://www.newegg.com/global/de-en/black-sony-3002337-playstation-4-console/p/N82E16868110236?Description=ps4&cm_re=ps4-_-9SIA6V66MV2943-_-Product
1TB PS4 PLAYSTATION SLIM DAYS OF PLAY LIMITED EDITION [SONY],Sony,,391,https://www.newegg.com/global/de-en/p/2SH-000D-00118?Description=ps4&cm_re=ps4-_-9SIA6V68BM0310-_-Product
PlayStation VR Bundle 8 Items:VR Bundle|PS4 Call of Duty Black Ops IIII|6 VR Game Disc Until Dawn|Rush of Blood|EVE: Valkyrie| Battlezone|Batman:Arkham VR|  DriveClub|Battlezone,Sony,,821,https://www.newegg.com/global/de-en/p/37P-000M-00020?Description=ps4&cm_re=ps4-_-9SIA6V65314394-_-Product
PlayStation 4 Slim 1TB Console,PlayStation,,327,https://www.newegg.com/global/de-en/black-sony-3002189-playstation-4-console/p/N82E16868110221?Description=ps4&cm_re=ps4-_-9SIA6V68SS4820-_-Product
